coordinate_x,coordinate_y,cost,parent_coordinate_x,parent_coordinate_y
87.3759858266,70.7228719149,56.49519087671938,80.7821966209,69.0526280148
96.5039945696,73.4069895648,66.00965519011028,87.3759858266,70.7228719149
103.7932605322,75.9325551764,73.72404952356351,96.5039945696,73.4069895648
104.4369258524,75.5129991634,74.21737565117753,96.5039945696,73.4069895648
84.7775309595,70.4121007744,53.91344098889262,80.7821966209,69.0526280148
74.8418632901,65.2213831691,42.97655859719805,68.2884240821,64.6028892624
76.5074613473,69.4480991468,45.93489093364099,68.2884240821,64.6028892624
84.6881292208,73.1130568503,54.898999468512656,76.5074613473,69.4480991468
90.2699956382,76.5412315941,61.44954255864848,84.6881292208,73.1130568503
93.8470916614,79.3320590755,65.98653870038486,90.2699956382,76.5412315941
98.6706699839,80.5362412226,70.75176978627036,90.2699956382,76.5412315941
100.4055180029,81.330795854,72.65991409719325,98.6706699839,80.5362412226
94.0916258167,79.5888501227,66.3375724191432,90.2699956382,76.5412315941
80.5010358874,71.6438266508,50.492286777668255,76.5074613473,69.4480991468
88.4758320395,74.8210544195,59.07669997611971,80.5010358874,71.6438266508
83.1763526844,73.2075591315,53.59108964902141,80.5010358874,71.6438266508
72.0040918805,64.6117097832,40.10967656023535,68.2884240821,64.6028892624
58.9909472558,60.0319840154,26.055270353949698,52.5836100464,57.9176623284
53.3095625852,58.7131617303,20.286519809261012,46.5935051417,55.6208285905
57.8980853153,60.6095328091,25.25147339546436,53.3095625852,58.7131617303
66.1216383367,65.0325610345,34.5890321223727,57.8980853153,60.6095328091
74.4758426926,67.5817541784,43.3235107046949,66.1216383367,65.0325610345
82.6859563362,70.5579168048,52.05640885019086,74.4758426926,67.5817541784
91.0158403771,73.2157101805,60.80002559400778,82.6859563362,70.5579168048
90.584348294,73.0907201507,60.350966602599485,82.6859563362,70.5579168048
98.8752728485,76.0439816313,69.15217011923328,90.584348294,73.0907201507
96.5251403458,76.5567160608,67.22891236071361,90.584348294,73.0907201507
85.1976680853,71.6394880396,54.7910920578977,82.6859563362,70.5579168048
94.4864933664,74.8926264697,64.63310327249181,85.1976680853,71.6394880396
101.3675064783,78.2387492133,72.28456580336635,94.4864933664,74.8926264697
99.0356860559,76.8826638028,69.59852397101595,94.4864933664,74.8926264697
85.5240677651,71.8818982235,55.18815010385722,82.6859563362,70.5579168048
91.9256545487,75.5216855058,62.55214119621704,85.5240677651,71.8818982235
95.4483883253,76.8488672101,66.31658863734664,91.9256545487,75.5216855058
102.6992405104,79.7448936526,74.12439412710039,95.4483883253,76.8488672101
99.6730152449,78.8343445271,70.9780125190195,91.9256545487,75.5216855058
101.8415796085,79.8130831206,73.35721419888655,99.6730152449,78.8343445271
77.3737328628,68.9105999229,46.51155061210157,74.4758426926,67.5817541784
61.8185214296,62.5054398024,29.602299625885244,53.3095625852,58.7131617303
55.3586543393,59.8965711637,22.645168004758112,46.5935051417,55.6208285905
61.3612445206,62.7086051413,29.27378957909889,55.3586543393,59.8965711637
66.7655125332,65.9319835235,35.566347163010676,61.3612445206,62.7086051413
75.3077791227,69.2675673778,44.73675817534567,66.7655125332,65.9319835235
71.1923016676,68.5699215284,40.71951890070173,66.7655125332,65.9319835235
75.8328582364,71.7641918353,46.353179172831716,71.1923016676,68.5699215284
77.5485088302,70.4672923822,47.35287292794445,71.1923016676,68.5699215284
79.5950993319,72.836780518,50.14358884018625,71.1923016676,68.5699215284
86.69332277,75.7021612434,57.79833786799153,79.5950993319,72.836780518
71.95389838,69.0524365107,41.62081448397295,66.7655125332,65.9319835235
74.3497306937,70.2847839296,44.310901839002035,66.7655125332,65.9319835235
80.5425085149,73.4689996298,51.27435836346939,74.3497306937,70.2847839296
85.1251968855,76.8572408049,56.97358734313633,80.5425085149,73.4689996298
86.6800928737,77.2003459868,58.457177266747095,80.5425085149,73.4689996298
94.53665025,81.9055646674,67.61493772656263,86.6800928737,77.2003459868
94.5107425647,82.1245179411,67.70739585976817,86.6800928737,77.2003459868
89.525880623,79.0221283018,61.83614141531581,86.6800928737,77.2003459868
95.9525672122,82.8829995664,69.33338273713659,89.525880623,79.0221283018
99.1369686981,85.0595922694,73.19057972694085,95.9525672122,82.8829995664
102.6604284072,84.9359120777,76.3483561220069,95.9525672122,82.8829995664
101.9191938029,84.7340222535,75.58053551748439,95.9525672122,82.8829995664
104.448543967,87.3622465825,78.93782310861805,95.9525672122,82.8829995664
92.875887194,80.2091204779,65.3448903268096,86.6800928737,77.2003459868
101.1445757677,84.7961506767,74.80068520474241,92.875887194,80.2091204779
100.3580023828,83.8446333082,73.66348403234346,92.875887194,80.2091204779
100.2643527972,84.6351860581,73.95764136755731,92.875887194,80.2091204779
85.7490240987,77.3298374674,57.75616932435031,80.5425085149,73.4689996298
82.7648562283,74.9301129979,53.923051438122414,74.3497306937,70.2847839296
75.2768580355,70.9329274295,45.43814751606082,66.7655125332,65.9319835235
81.4769491423,74.7331746764,52.710217982591764,75.2768580355,70.9329274295
84.8389515333,77.1617124699,56.85760943886251,81.4769491423,74.7331746764
89.094118777,79.5912056429,61.75749569769659,84.8389515333,77.1617124699
